Gridlet ID,SubmissionTime,QueueTime,RunTime,State
289,1.39722004825E9,0.0,2.0,Success
290,1.39722309125E9,0.0,10.0,Success
291,1.39722310025E9,0.0,133.0,Success
292,1.39722428625E9,0.0,9.0,Success
293,1.39722429725E9,0.0,70.0,Success
294,1.39722436625E9,0.0,45.0,Success
295,1.39722455025E9,0.0,10.0,Success
296,1.39722461525E9,0.0,9.0,Success
297,1.39722462325E9,0.0,58.0,Success
298,1.39722468025E9,0.0,77.0,Success
299,1.39722475625E9,0.0,66.0,Success
300,1.39722482125E9,0.0,78.0,Success
301,1.39722489825E9,0.0,62.0,Success
302,1.39722495925E9,0.0,67.0,Success
303,1.39722502525E9,0.0,68.0,Success
304,1.39722509225E9,0.0,7.0,Success
305,1.39722509825E9,0.0,8.0,Success
306,1.39722510525E9,0.0,89.0,Success
307,1.39722519325E9,0.0,73.0,Success
308,1.39722526525E9,0.0,73.0,Success
309,1.39722533725E9,0.0,79.0,Success
310,1.39722541525E9,0.0,64.0,Success
313,1.3972255375E9,0.0,2.0,Success
311,1.39722547825E9,0.0,91.0,Success
315,1.39722556825E9,0.0,72.0,Success
316,1.39722563925E9,0.0,8.0,Success
317,1.39722564625E9,0.0,39.0,Success
320,1.3972257265E9,0.0,4.0,Success
318,1.39722568425E9,0.0,50.0,Success
324,1.3972257675E9,0.0,2.0,Success
322,1.39722573425E9,0.0,45.0,Success
326,1.39722577825E9,0.0,64.0,Success
327,1.39722584125E9,0.0,44.0,Success
328,1.39722588425E9,0.0,56.0,Success
329,1.39722593925E9,0.0,32.0,Success
330,1.39722597025E9,0.0,9.0,Success
331,1.39722597825E9,0.0,76.0,Success
332,1.39722605325E9,0.0,87.0,Success
333,1.39722614025E9,0.0,82.0,Success
334,1.39722622125E9,0.0,69.0,Success
335,1.39722628925E9,0.0,106.0,Success
337,1.3972263955E9,0.0,2.0,Success
336,1.39722639425E9,0.0,67.0,Success
339,1.39722648625E9,0.0,11.0,Success
338,1.39722646025E9,0.0,76.0,Success
341,1.39722653525E9,0.0,10.0,Success
340,1.39722649725E9,0.0,110.0,Success
342,1.39722654425E9,0.0,79.0,Success
344,1.39722662225E9,0.0,53.0,Success
345,1.39722667425E9,0.0,46.0,Success
343,1.39722660625E9,0.0,117.0,Success
346,1.39722671925E9,0.0,75.0,Success
348,1.39722679325E9,0.0,65.0,Success
347,1.39722672225E9,0.0,142.0,Success
349,1.39722685725E9,0.0,56.0,Success
351,1.39722691225E9,0.0,50.0,Success
350,1.39722686325E9,0.0,104.0,Success
352,1.39722696125E9,0.0,6.0,Success
354,1.3972269675E9,0.0,58.0,Success
355,1.39722702325E9,0.0,43.0,Success
353,1.39722696625E9,0.0,118.0,Success
356,1.39722706525E9,0.0,56.0,Success
358,1.39722712025E9,0.0,45.0,Success
357,1.39722708325E9,0.0,103.0,Success
359,1.39722716525E9,0.0,51.0,Success
361,1.39722721525E9,0.0,63.0,Success
362,1.39722727725E9,0.0,47.0,Success
360,1.39722718525E9,0.0,149.0,Success
364,1.39722733325E9,0.0,8.0,Success
365,1.39722734025E9,0.0,7.0,Success
363,1.39722732325E9,0.0,47.0,Success
367,1.39722736925E9,0.0,7.0,Success
368,1.39722737525E9,0.0,7.0,Success
372,1.39722741875E9,0.0,2.0,Success
369,1.39722738225E9,0.0,44.0,Success
366,1.39722734725E9,0.0,97.0,Success
377,1.39722744875E9,0.0,2.0,Success
380,1.39722746475E9,0.0,2.0,Success
