timestamp,usedPEs,jobsRunning,JobsInLongQueue,JobsInMediumQueue
1.39834123825E9,259,7,0,0
1.39834502625E9,293,18,0,0
1.39834880625E9,287,12,0,0
1.39835244225E9,295,9,0,0
1.39835607725E9,271,8,0,0
1.39835973325E9,271,8,0,0
1.39836336925E9,271,8,0,0
1.3983670245E9,210,7,0,0
1.39837063575E9,169,6,0,0
1.398374289E9,181,7,0,0
1.39837789625E9,181,7,0,0
1.3983815425E9,130,6,0,0
1.39838515225E9,130,6,0,0
1.398388759E9,142,7,0,0
1.3983923745E9,142,7,0,0
1.39839598825E9,130,6,0,0
1.39839960175E9,130,6,0,0
1.39840320525E9,130,6,0,0
1.39840685525E9,130,6,0,0
1.39841100925E9,202,7,0,0
1.39841463725E9,130,6,0,0
1.39841826725E9,130,6,0,0
1.39842193325E9,130,6,0,0
1.39842555325E9,130,6,0,0
1.39842955725E9,130,6,0,0
1.39843336625E9,178,8,0,0
1.39843701025E9,219,9,0,0
1.39844078625E9,219,9,0,0
1.39844445825E9,279,11,0,0
1.39844806325E9,219,8,0,0
1.39845172725E9,219,8,0,0
1.39845533425E9,262,12,0,0
1.39845916025E9,197,10,0,0
1.39846283825E9,149,8,0,0
1.39846666225E9,125,7,0,0
1.39847028725E9,84,6,0,0
1.39847398525E9,72,5,0,0
1.39847769325E9,72,5,0,0
1.39848131325E9,72,5,0,0
1.39848493825E9,60,4,0,0
1.39848855725E9,48,3,0,0
1.39849222125E9,36,2,0,0
1.39849603625E9,36,2,0,0
1.39849963825E9,36,2,0,0
1.39850329825E9,36,2,0,0
1.39850696725E9,36,2,0,0
1.39851058925E9,36,2,0,0
1.39851419325E9,36,2,0,0
1.3985177945E9,36,2,0,0
1.39852139575E9,72,5,0,0
1.398524997E9,133,6,0,0
1.39852859825E9,121,5,0,0
1.3985321995E9,97,3,0,0
1.39853580075E9,85,2,0,0
1.398539402E9,85,2,0,0
1.39854300325E9,85,2,0,0
1.3985466045E9,85,2,0,0
1.39855022625E9,97,3,0,0
1.39855393425E9,97,3,0,0
1.39855755925E9,97,3,0,0
1.39856120325E9,85,2,0,0
1.39856483225E9,85,2,0,0
1.39856844225E9,85,2,0,0
1.39857205525E9,85,2,0,0
1.39857566325E9,61,1,0,0
1.39857927725E9,61,1,0,0
1.39858289725E9,61,1,0,0
1.39858653325E9,61,1,0,0
1.39859014225E9,61,1,0,0
1.39859375625E9,61,1,0,0
1.39859736925E9,61,1,0,0
1.3986010245E9,61,1,0,0
1.39860463575E9,85,3,0,0
1.398608289E9,85,3,0,0
1.39861189625E9,85,3,0,0
1.3986155425E9,85,3,0,0
